PostCodes,Posttown,GDescription
S80,Nottinghamshire,Group 1
IV55,Highland,Group 1
CO9,Greater London,Group 3
EC1V,Greater London,Group 3
DT11,Dorset,Group 2
BN26,East Sussex,Group 3
N17,Greater London,Group 3
RG23,Hampshire,Group 2
WC2A,Greater London,Group 3
PO19,West Sussex,Group 2
N19,Greater London,Group 3
BA1,Bath and North East Somerset,Group 2
EX35,Devon,Group 2
TD3,Scottish Borders,Group 1
PE28,Cambridgeshire,Group 1
BT75,Fermanagh,Unallocated
SA67,Pembrokeshire,Group 2
CO11,Greater London,Group 3
G47,Glasgow City,Group 1
SP1,Wiltshire,Group 2
DN1,South Yorkshire,Group 1
W2,Greater London,Group 3
EC4R,Greater London,Group 3
BD12,West Yorkshire,Group 1
LL28,Conwy,Group 2
SN1,Wiltshire,Group 2
NN18,Northamptonshire,Group 2
LN10,Lincolnshire,Group 1
S17,South Yorkshire,Group 1
LL18,Denbighshire,Group 2
CF83,Caerphilly,Group 2
DN3,South Yorkshire,Group 1
EH16,Midlothian,Group 1
EN10,Greater London,Group 3
SS15,Greater London,Group 3
LL74,Isle of Anglesey,Group 2
EN2,Greater London,Group 3
EH8,City of Edinburgh,Group 1
BN45,West Sussex,Group 3
PA21,Argyll and Bute,Group 1
LD3,Powys,Group 2
BT46,Magherafelt,Unallocated
NR18,Norfolk,Group 3
L24,Merseyside,Group 2
NE10,Tyne and Wear,Group 1
LL42,Gwynedd,Group 2
KT9,Surrey,Group 2
SR2,Tyne and Wear,Group 1
NE8,Tyne and Wear,Group 1
NG10,Derbyshire,Group 1
CH99,Cheshire,Group 2
CA17,Cumbria,Group 1
OX27,Buckinghamshire,Group 3
IM4,NULL,Unallocated
SM7,Greater London,Group 3
PE99,Cambridgeshire,Group 1
OX25,Oxfordshire,Group 3
NN12,Northamptonshire,Group 2
EC3A,Greater London,Group 3
LA11,Cumbria,Group 1
PH24,Highland,Group 1
LL68,Isle of Anglesey,Group 2
M90,Greater Manchester,Group 2
BD9,West Yorkshire,Group 1
PE30,Norfolk,Group 1
AL6,Hertfordshire,Group 2
DE56,Derbyshire,Group 1
WF7,West Yorkshire,Group 1
KW8,Highland,Unallocated
DE5,Derbyshire,Group 1
CT13,Kent,Group 3
CM23,Greater London,Group 3
L74,Merseyside,Group 2
PA33,Argyll and Bute,Group 1
LS7,West Yorkshire,Group 1
M6,Greater Manchester,Group 2
TN6,East Sussex,Group 3
SE4,Greater London,Group 3
IV28,Highland,Group 1
KA22,North Ayrshire,Group 1
L72,Merseyside,Group 2
E11,Greater London,Group 3
GU8,Surrey,Group 2
SL60,Berkshire,Group 2
BS25,Somerset,Group 2
SY2,Shropshire,Group 2
PH7,Perth and Kinross,Group 1
SO31,Hampshire,Group 2
BH6,Dorset,Group 2
IP5,Suffolk,Group 3
OX5,Oxfordshire,Group 3
CF23,Cardiff,Group 2
TR9,Cornwall,Group 2
SW17,Greater London,Group 3
WF1,West Yorkshire,Group 1
TF12,Shropshire,Group 2
AB36,Aberdeenshire,Group 1
B15,West Midlands,Group 2
e81,Greater London,Group 3
BB6,Lancashire,Group 1
DG9,Dumfries and Galloway,Group 1
GL54,Gloucestershire,Group 2
PA26,Argyll and Bute,Group 1
EH42,East Lothian,Group 1
B47,Worcestershire,Group 2
IP29,Suffolk,Group 3
WN1,Lancashire,Group 2
NR23,Norfolk,Group 3
BD21,West Yorkshire,Group 1
PH35,Highland,Group 1
CA16,Cumbria,Group 1
G56,Glasgow City,Group 1
S2,South Yorkshire,Group 1
DG5,Dumfries and Galloway,Group 1
BT13,Belfast,Unallocated
SS12,Greater London,Group 3
M17,Cheshire,Group 2
G59,Glasgow City,Group 1
EH2,City of Edinburgh,Group 1
TA3,Somerset,Group 2
DA9,Kent,Group 3
CO15,Greater London,Group 3
BS16,City of Bristol,Group 2
ML3,South Lanarkshire,Group 1
GU2,Surrey,Group 2
DN40,South Yorkshire,Group 1
CO3,Greater London,Group 3
PH39,Highland,Group 1
NW5,Greater London,Group 3
G34,Glasgow City,Group 1
ST11,Staffordshire,Group 2
S30,South Yorkshire,Group 1
PA48,Argyll and Bute,Group 1
GU30,Hampshire,Group 2
YO23,North Yorkshire,Group 1
E3,Greater London,Group 3
DY14,Shropshire,Group 2
CH33,Merseyside,Group 2
G90,Glasgow City,Group 1
IP32,Suffolk,Group 3
DN10,Lincolnshire,Group 1
NG24,Nottinghamshire,Group 1
W1F,Greater London,Group 3
YO7,North Yorkshire,Group 1
LL11,Wrexham,Group 2
LL71,Isle of Anglesey,Group 2
PE1,Cambridgeshire,Group 1
PH50,Highland,Group 1
PL30,Cornwall,Group 2
SE10,Greater London,Group 3
BA8,Somerset,Group 2
YO30,North Yorkshire,Group 1
SA5,Swansea,Group 2
SO21,Hampshire,Group 2
M31,Cheshire,Group 2
WF17,West Yorkshire,Group 1
B8,West Midlands,Group 2
SO19,Hampshire,Group 2
LA6,Cumbria,Group 1
WN7,Lancashire,Group 2
HD5,West Yorkshire,Group 1
CV4,West Midlands,Group 2
BS9,City of Bristol,Group 2
B35,West Midlands,Group 2
LE21,Leicestershire,Group 2
KW10,Highland,Unallocated
L9,Merseyside,Group 2
BT12,Belfast,Unallocated
PA12,Renfrewshire,Group 1
G76,Glasgow City,Group 1
S10,South Yorkshire,Group 1
TR7,Cornwall,Group 2
CF15,Cardiff,Group 2
TN35,East Sussex,Group 3
B73,West Midlands,Group 2
S74,South Yorkshire,Group 1
YO10,North Yorkshire,Group 1
KA19,South Ayrshire,Group 1
PR6,Lancashire,Group 1
E16,Greater London,Group 3
FK13,Clackmannanshire,Group 1
NW11,Greater London,Group 3
PA11,Renfrewshire,Group 1
SA61,Pembrokeshire,Group 2
HX6,West Yorkshire,Group 1
SN6,Oxfordshire,Group 2
WC1V,Greater London,Group 3
FK17,Stirling,Group 1
CH2,Cheshire,Group 2
IV41,Highland,Group 1
WV1,West Midlands,Group 2
RG1,Berkshire,Group 2
BT37,Newtownabbey,Unallocated
PE34,Norfolk,Group 1
E2,Greater London,Group 3
ME6,Kent,Group 3
LS25,North Yorkshire,Group 1
LL26,Conwy,Group 2
CT6,Kent,Group 3
CM5,Greater London,Group 3
KA29,North Ayrshire,Group 1
NE67,Northumberland,Group 1
SO20,Hampshire,Group 2
HU14,East Riding of Yorkshire,Group 1
SY1,Shropshire,Group 2
KW15,Orkney Islands,Unallocated
YO41,East Riding of Yorkshire,Group 1
HP17,Buckinghamshire,Group 3
FK3,Falkirk,Group 1
CV10,Leicestershire,Group 2
IG1,Greater London,Group 3
GL9,Gloucestershire,Group 2
G14,Glasgow City,Group 1
LA18,Cumbria,Group 1
DY12,Worcestershire,Group 2
EC3P,Greater London,Group 3
SW20,Greater London,Group 3
PH42,Highland,Group 1
PH19,Highland,Group 1
GU46,Hampshire,Group 2
KA5,East Ayrshire,Group 1
KT5,Greater London,Group 2
WF11,North Yorkshire,Group 1
IV42,Highland,Group 1
EH53,West Lothian,Group 1
KA21,North Ayrshire,Group 1
S9,South Yorkshire,Group 1
L20,Merseyside,Group 2
HU4,East Riding of Yorkshire,Group 1
IP17,Suffolk,Group 3
IP11,Suffolk,Group 3
PO2,Hampshire,Group 2
SA19,Carmarthenshire,Group 2
YO62,North Yorkshire,Group 1
IG6,Greater London,Group 3
NW9,Greater London,Group 3
B43,West Midlands,Group 2
W1U,Greater London,Group 3
MK3,Buckinghamshire,Group 3
MK40,Buckinghamshire,Group 3
G72,South Lanarkshire,Group 1
DL11,Durham,Group 1
EC3V,Greater London,Group 3
NE30,Tyne and Wear,Group 1
PE16,Cambridgeshire,Group 1
G63,Stirling,Group 1
BD6,West Yorkshire,Group 1
EX16,Devon,Group 2
M15,Greater Manchester,Group 2
B23,West Midlands,Group 2
TA12,Somerset,Group 2
PA13,Renfrewshire,Group 1
TW15 3PP ,Surrey,Group 3
PL26,Cornwall,Group 2
BB3,Lancashire,Group 1
HD1,West Yorkshire,Group 1
DG12,Dumfries and Galloway,Group 1
TN36,East Sussex,Group 3
WA6,Cheshire,Group 2
NE28,Tyne and Wear,Group 1
NP13,Blaenau Gwent,Group 2
WV7,Shropshire,Group 2
KW7,Highland,Unallocated
LL70,Isle of Anglesey,Group 2
HR6,Herefordshire,Group 2
CF10,Cardiff,Group 2
NP11,Blaenau Gwent,Group 2
IV15,Highland,Group 1
CV47,Warwickshire,Group 2
PE32,Norfolk,Group 1
IP33,Suffolk,Group 3
G68,Glasgow City,Group 1
B26,West Midlands,Group 2
SE7,Greater London,Group 3
G75,South Lanarkshire,Group 1
B66,West Midlands,Group 2
W1C,Greater London,Group 3
L1,Merseyside,Group 2
TR4,Cornwall,Group 2
44,Ards,Unallocated
BS14,City of Bristol,Group 2
WR11,Gloucestershire,Group 2
PO16,Hampshire,Group 2
CF82,Caerphilly,Group 2
BT32,Banbridge,Unallocated
EN6,Greater London,Group 3
S40,Derbyshire,Group 1
TW7,Greater London,Group 3
NG5,Nottinghamshire,Group 1
KY3,Fife,Group 1
NW4,Greater London,Group 3
SY6,Shropshire,Group 2
WV14,West Midlands,Group 2
TW18,Surrey,Group 3
SA64,Pembrokeshire,Group 2
HG3,North Yorkshire,Group 1
NR32,Suffolk,Group 3
NE61,Northumberland,Group 1
G51,Renfrewshire,Group 1
CF34,Bridgend,Group 2
B70,West Midlands,Group 2
BT56,Coleraine,Unallocated
YO91,North Yorkshire,Group 1
PL31,Cornwall,Group 2
CF40,"Rhondda, Cynon, Taff",Group 2
DD7,Angus,Group 1
GU5,Surrey,Group 2
LL55,Gwynedd,Group 2
BB2,Lancashire,Group 1
DA3,Kent,Group 3
HP21,Buckinghamshire,Group 3
LE55,Leicestershire,Group 2
RH12,West Sussex,Group 3
HR7,Herefordshire,Group 2
KY9,Fife,Group 1
ba,,Unallocated
DA2,Kent,Group 3
PA27,Argyll and Bute,Group 1
SW1A,Greater London,Group 3
BT5,Castlereagh,Unallocated
BT66,Craigavon,Unallocated
CM14,Greater London,Group 3
RG21,Hampshire,Group 2
SS7,Greater London,Group 3
TS22,Durham,Group 1
SS9,Greater London,Group 3
OL4,Lancashire,Group 1
S36,South Yorkshire,Group 1
BL8,Lancashire,Group 2
G4,Glasgow City,Group 1
EC2V,Greater London,Group 3
PH31,Highland,Group 1
TR19,Cornwall,Group 2
G78,Glasgow City,Group 1
ME99,Kent,Group 3
G3,Glasgow City,Group 1
HP6,Buckinghamshire,Group 3
RG25,Hampshire,Group 2
CM0,Greater London,Group 3
CA95,Cumbria,Group 1
AB34,Aberdeenshire,Group 1
PL13,Cornwall,Group 2
HU20,East Riding of Yorkshire,Group 1
M60,Greater Manchester,Group 2
IV20,Highland,Group 1
SA46,Ceredigion,Group 2
DD1,Dundee City,Group 1
YO42,East Riding of Yorkshire,Group 1
46,Ards,Unallocated
YO95,East Riding of Yorkshire,Group 1
ME15,Kent,Group 3
CW12,Cheshire,Group 2
IV9,Highland,Group 1
EX32,Devon,Group 2
e20,Greater London,Group 3
CH49,Merseyside,Group 2
KT1,Greater London,Group 2
KW5,Highland,Unallocated
ME7,Kent,Group 3
DN7,South Yorkshire,Group 1
NE37,Tyne and Wear,Group 1
NR31,Norfolk,Group 3
BH25,Hampshire,Group 2
GU24,Surrey,Group 2
SW3,Greater London,Group 3
RM15,Greater London,Group 3
LA4,Lancashire,Group 1
S58,South Yorkshire,Group 1
BT80,Cookstown,Unallocated
202,Aberdeen City,Group 1
WS10,West Midlands,Group 2
BN12,West Sussex,Group 3
ST5,Staffordshire,Group 2
GL56,Gloucestershire,Group 2
EX3,Devon,Group 2
SE1P,Greater London,Group 3
BN10,East Sussex,Group 3
SE12,Greater London,Group 3
RG20,Berkshire,Group 2
LS14,West Yorkshire,Group 1
LN13,Lincolnshire,Group 1
SK16,Greater Manchester,Group 2
ST55,Staffordshire,Group 2
IV7,Highland,Group 1
KA13,North Ayrshire,Group 1
TD7,Scottish Borders,Group 1
CH88,Cheshire,Group 2
LS16,West Yorkshire,Group 1
N10,Greater London,Group 3
WV3,West Midlands,Group 2
PA29,Argyll and Bute,Group 1
CO10,Greater London,Group 3
KT10,Surrey,Group 2
DN38,Lincolnshire,Group 1
BH18,Dorset,Group 2
OX17,Northamptonshire,Group 3
UB4,Greater London,Group 3
OL14,West Yorkshire,Group 1
G57,Glasgow City,Group 1
BS30,Gloucestershire,Group 2
BT25,Banbridge,Unallocated
CM99,Greater London,Group 3
YO22,North Yorkshire,Group 1
AB21,Aberdeen City,Group 1
BA2,Somerset,Group 2
N18,Greater London,Group 3
ST8,Staffordshire,Group 2
FK15,Perth and Kinross,Group 1
LL21,Conwy,Group 2
CT7,Kent,Group 3
TR17,Cornwall,Group 2
YO11,North Yorkshire,Group 1
PO40,Isle of Wight,Group 2
PL7,Devon,Group 2
KT22,Surrey,Group 2
IV21,Highland,Group 1
KW14,Highland,Unallocated
NE7,Tyne and Wear,Group 1
HA4,Greater London,Group 3
RM14,Greater London,Group 3
RM12,Greater London,Group 3
EH38,Scottish Borders,Group 1
DN35,Lincolnshire,Group 1
DG6,Dumfries and Galloway,Group 1
M40,Greater Manchester,Group 2
GL7,Gloucestershire,Group 2
ZE1,Shetland Islands,Unallocated
PR11,Lancashire,Group 1
GU26,Surrey,Group 2
CV37,Warwickshire,Group 2
CO8,Greater London,Group 3
SN25,Wiltshire,Group 2
TS17,North Yorkshire,Group 1
BD24,North Yorkshire,Group 1
RM20,Greater London,Group 3
CT14,Kent,Group 3
DH4,Durham,Group 1
CR90,Greater London,Group 3
NG90,Nottinghamshire,Group 1
GU1,Surrey,Group 2
M9,Greater Manchester,Group 2
IP21,Norfolk,Group 3
S59,South Yorkshire,Group 1
IP9,Suffolk,Group 3
B11,West Midlands,Group 2
LL16,Conwy,Group 2
BH4,Dorset,Group 2
WC1B,Greater London,Group 3
HU3,East Riding of Yorkshire,Group 1
SN26,Wiltshire,Group 2
OX29,Oxfordshire,Group 3
HP27,Buckinghamshire,Group 3
YO43,East Riding of Yorkshire,Group 1
SN4,Wiltshire,Group 2
WD5,Hertfordshire,Group 3
ML9,South Lanarkshire,Group 1
EH13,City of Edinburgh,Group 1
BR3,Kent,Group 3
TD4,Scottish Borders,Group 1
DE22,Derbyshire,Group 1
BH24,Dorset,Group 2
OL11,Lancashire,Group 1
GU95,Surrey,Group 2
DE1,Derbyshire,Group 1
EH99,City of Edinburgh,Group 1
SA17,Carmarthenshire,Group 2
ST7,Staffordshire,Group 2
W5,Greater London,Group 3
PA73,Argyll and Bute,Group 1
EX14,Devon,Group 2
BA13,Wiltshire,Group 2
PA42,Argyll and Bute,Group 1
NE39,Durham,Group 1
BD18,West Yorkshire,Group 1
BT29,Antrim,Unallocated
S12,Staffordshire,Group 1
PA64,Argyll and Bute,Group 1
SY5,Shropshire,Group 2
BS35,Gloucestershire,Group 2
41,Ards,Unallocated
EX13,Devon,Group 2
SN5,Wiltshire,Group 2
10,Ards,Unallocated
TN28,Kent,Group 3
DN32,Lincolnshire,Group 1
OX14,Oxfordshire,Group 3
CO14,Greater London,Group 3
M19,Greater Manchester,Group 2
PA32,Argyll and Bute,Group 1
SG13,Hertfordshire,Group 3
IG11,Greater London,Group 3
TN34,East Sussex,Group 3
B34,West Midlands,Group 2
RG12,Berkshire,Group 2
ML12,Dumfries and Galloway,Group 1
PA18,Inverclyde,Group 1
WD23,Hertfordshire,Group 3
EX9,Devon,Group 2
CM24,Greater London,Group 3
NG31,Lincolnshire,Group 1
CV31,Warwickshire,Group 2
DD10,,Group 1
WR10,Worcestershire,Group 2
LD2,Powys,Group 2
CH32,Merseyside,Group 2
DN5,South Yorkshire,Group 1
S34,South Yorkshire,Group 1
SA62,Pembrokeshire,Group 2
B61,Worcestershire,Group 2
E98,Greater London,Group 3
IV99,Highland,Group 1
SK17,Derbyshire,Group 2
S18,Derbyshire,Group 1
DE72,Derbyshire,Group 1
CH1,Cheshire,Group 2
TR18,Cornwall,Group 2
CH27,Merseyside,Group 2
EX1,Devon,Group 2
W11,Greater London,Group 3
PR8,Merseyside,Group 2
PL16,Devon,Group 2
PL5,Devon,Group 2
OL9,Lancashire,Group 1
SA65,Pembrokeshire,Group 2
TA7,Somerset,Group 2
HS4,Eilean Siar,Unallocated
LA23,Cumbria,Group 1
B64,West Midlands,Group 2
SP2,Wiltshire,Group 2
HA1,Greater London,Group 3
HD8,West Yorkshire,Group 1
WV6,Shropshire,Group 2
PH8,Perth and Kinross,Group 1
SN3,Wiltshire,Group 2
WA8,Cheshire,Group 2
G84,Glasgow City,Group 1
SN12,Wiltshire,Group 2
L37,Lancashire,Group 2
ST16,Staffordshire,Group 2
TN7,East Sussex,Group 3
NG25,Nottinghamshire,Group 1
HD3,West Yorkshire,Group 1
AL7,Hertfordshire,Group 2
S27,South Yorkshire,Group 1
KA1,East Ayrshire,Group 1
GU16,Surrey,Group 2
G36,Glasgow City,Group 1
WC2H,Greater London,Group 3
G49,Glasgow City,Group 1
G9,Glasgow City,Group 1
PR4,Lancashire,Group 1
SO45,Hampshire,Group 2
GL55,Gloucestershire,Group 2
SA32,Carmarthenshire,Group 2
CT17,Kent,Group 3
RG31,Berkshire,Group 2
TD13,Scottish Borders,Group 1
SA47,Ceredigion,Group 2
NR34,Norfolk,Group 3
PA17,North Ayrshire,Group 1
B38,West Midlands,Group 2
SP7,Dorset,Group 2
SA43,Ceredigion,Group 2
MK19,Buckinghamshire,Group 3
NR20,Norfolk,Group 3
CO2,Greater London,Group 3
G27,Glasgow City,Group 1
DN37,Lincolnshire,Group 1
49,Ards,Unallocated
203,Aberdeen City,Group 1
BB8,Lancashire,Group 1
GU35,Hampshire,Group 2
BS39,Somerset,Group 2
CV32,Warwickshire,Group 2
BH17,Dorset,Group 2
BS4,City of Bristol,Group 2
PE7,Cambridgeshire,Group 1
M5,Greater Manchester,Group 2
SM1,Greater London,Group 3
DA4,Kent,Group 3
ML5,North Lanarkshire,Group 1
OL15,Lancashire,Group 1
M41,Cheshire,Group 2
G17,Glasgow City,Group 1
NE44,Northumberland,Group 1
WA2,Cheshire,Group 2
PE24,Lincolnshire,Group 1
G45,Glasgow City,Group 1
SW1Y,Greater London,Group 3
FK5,Falkirk,Group 1
DE75,Derbyshire,Group 1
S14,South Yorkshire,Group 1
HR8,Gloucestershire,Group 2
IP4,Suffolk,Group 3
BS7,City of Bristol,Group 2
RH10,West Sussex,Group 3
NN9,Northamptonshire,Group 2
RM8,Greater London,Group 3
S64,South Yorkshire,Group 1
HP16,Buckinghamshire,Group 3
GU4,Surrey,Group 2
SW13,Greater London,Group 3
PL10,Cornwall,Group 2
BS32,Gloucestershire,Group 2
RG4,Berkshire,Group 2
PE21,Lincolnshire,Group 1
TD9,Scottish Borders,Group 1
MK4,Buckinghamshire,Group 3
L2,Merseyside,Group 2
GY4,Guernsey,Unallocated
NG70,Nottinghamshire,Group 1
SY20,Ceredigion,Group 2
LD1,Powys,Group 2
CH42,Merseyside,Group 2
PL18,Cornwall,Group 2
HD9,West Yorkshire,Group 1
PL29,Cornwall,Group 2
BT52,Coleraine,Unallocated
DN34,Lincolnshire,Group 1
37,Ards,Unallocated
N12,Greater London,Group 3
BH19,Dorset,Group 2
PA34,Argyll and Bute,Group 1
NG14,Nottinghamshire,Group 1
CH26,Merseyside,Group 2
LL37,Gwynedd,Group 2
AB54,Aberdeenshire,Group 1
CA1,Cumbria,Group 1
S19,South Yorkshire,Group 1
HU13,East Riding of Yorkshire,Group 1
EC1A,Greater London,Group 3
FK1,Falkirk,Group 1
CH41,Merseyside,Group 2
CA11,Cumbria,Group 1
E4,Greater London,Group 3
TA11,Somerset,Group 2
CT5,Kent,Group 3
AB53,Aberdeenshire,Group 1
W1W,Greater London,Group 3
DH6,Durham,Group 1
L39,Lancashire,Group 2
DE99,Derbyshire,Group 1
EC3R,Greater London,Group 3
BS48,Somerset,Group 2
SW8,Greater London,Group 3
BT43,Ballymena,Unallocated
CB8,Cambridgeshire,Group 3
TS3,North Yorkshire,Group 1
BL2,Lancashire,Group 2
FK4,Falkirk,Group 1
SR5,Tyne and Wear,Group 1
NR26,Norfolk,Group 3
TD1,Scottish Borders,Group 1
OL10,Lancashire,Group 1
NE65,Northumberland,Group 1
CH63,Merseyside,Group 2
NE4,Tyne and Wear,Group 1
CR9,Greater London,Group 3
NE36,Tyne and Wear,Group 1
CB5,Cambridgeshire,Group 3
N14,Greater London,Group 3
DG8,Dumfries and Galloway,Group 1
ML2,North Lanarkshire,Group 1
HD4,West Yorkshire,Group 1
NP7,Monmouthshire,Group 2
LA2,Lancashire,Group 1
DN14,East Riding of Yorkshire,Group 1
WD25,Hertfordshire,Group 3
LL53,Gwynedd,Group 2
LE8,Leicestershire,Group 2
DA8,Kent,Group 3
BT64,Craigavon,Unallocated
G69,Glasgow City,Group 1
NR17,Norfolk,Group 3
KA20,North Ayrshire,Group 1
BL1,Lancashire,Group 2
EH23,Midlothian,Group 1
HD7,West Yorkshire,Group 1
TN14,Kent,Group 3
100,Aberdeen City,Group 1
NE88,Tyne and Wear,Group 1
OL7,Greater Manchester,Group 1
ST21,Staffordshire,Group 2
ST4,Staffordshire,Group 2
CA20,Cumbria,Group 1
SO23,Hampshire,Group 2
GU9,Surrey,Group 2
KT4,Greater London,Group 2
S25,South Yorkshire,Group 1
PA68,Argyll and Bute,Group 1
LS8,West Yorkshire,Group 1
EX19,Devon,Group 2
FK20,Stirling,Group 1
RH5,Surrey,Group 3
SL4,Berkshire,Group 2
EH34,East Lothian,Group 1
HP18,Buckinghamshire,Group 3
HP15,Buckinghamshire,Group 3
G31,Glasgow City,Group 1
BT74,Fermanagh,Unallocated
PA28,Argyll and Bute,Group 1
UB5,Greater London,Group 3
OX7,Gloucestershire,Group 3
LL15,Denbighshire,Group 2
PE36,Norfolk,Group 1
CT18,Kent,Group 3
AB44,Aberdeenshire,Group 1
S51,South Yorkshire,Group 1
OL16,Lancashire,Group 1
205,Aberdeen City,Group 1
BS80,Gloucestershire,Group 2
CT2,Kent,Group 3
E13,Greater London,Group 3
WF14,West Yorkshire,Group 1
SA45,Ceredigion,Group 2
KW9,Highland,Unallocated
TD11,Scottish Borders,Group 1
ST15,Staffordshire,Group 2
TN11,Kent,Group 3
BH14,Dorset,Group 2
HA6,Greater London,Group 3
PA75,Argyll and Bute,Group 1
BT15,Belfast,Unallocated
BT24,Down,Unallocated
PA25,Argyll and Bute,Group 1
HP11,Buckinghamshire,Group 3
CV5,West Midlands,Group 2
ME18,Kent,Group 3
KT18,Surrey,Group 2
NE42,Northumberland,Group 1
IV12,Highland,Group 1
TQ2,Devon,Group 2
AB37,Moray,Group 1
SG6,Hertfordshire,Group 3
SA66,Pembrokeshire,Group 2
TN23,Kent,Group 3
YO61,North Yorkshire,Group 1
PH36,Argyll and Bute,Group 1
WD4,Hertfordshire,Group 3
IV51,Highland,Group 1
WN2,Lancashire,Group 2
LL54,Gwynedd,Group 2
PL27,Cornwall,Group 2
TN12,Kent,Group 3
TQ9,Devon,Group 2
SP8,Dorset,Group 2
HU18,East Riding of Yorkshire,Group 1
BH7,Dorset,Group 2
CV7,Warwickshire,Group 2
SE16,Greater London,Group 3
B28,West Midlands,Group 2
L19,Merseyside,Group 2
LS21,North Yorkshire,Group 1
TA4,Somerset,Group 2
OX33,Oxfordshire,Group 3
BN41,East Sussex,Group 3
NP4,Monmouthshire,Group 2
NP10,Caerphilly,Group 2
IM3,NULL,Unallocated
SW1V,Greater London,Group 3
TF13,Shropshire,Group 2
UB2,Greater London,Group 3
LL24,Conwy,Group 2
L23,Merseyside,Group 2
NR2,Norfolk,Group 3
N8,Greater London,Group 3
SE2,Greater London,Group 3
NR10,Norfolk,Group 3
SL0,Buckinghamshire,Group 2
M16,Cheshire,Group 2
S23,South Yorkshire,Group 1
RG28,Hampshire,Group 2
CH3,Cheshire,Group 2
L33,Merseyside,Group 2
